shipments,trackstart,trackend,volume
Company_C_13_7,2,14,0
Company_C_13_7,3,1,0
Company_C_13_7,3,5,0
Company_C_13_7,3,7,0
Company_C_13_7,3,14,0
Company_C_13_7,4,1,0
Company_C_13_7,4,6,0
Company_C_13_7,4,8,0
Company_C_13_7,4,12,0
Company_C_13_7,5,3,0
Company_C_13_7,5,7,0
Company_C_13_7,5,14,0
Company_C_13_7,6,4,0
Company_C_13_7,6,7,0
Company_C_13_7,6,9,0
Company_C_13_7,6,15,0
Company_C_13_7,7,3,0
Company_C_13_7,7,5,0
Company_C_13_7,7,6,0
Company_C_13_7,7,13,0
Company_C_13_7,8,4,0
Company_C_13_7,8,9,0
Company_C_13_7,9,6,0
Company_C_13_7,9,8,0
Company_C_13_7,9,10,0
Company_C_13_7,10,9,0
Company_C_13_7,10,11,0
Company_C_13_7,11,10,0
Company_C_13_7,12,4,0
Company_C_13_7,12,15,0
Company_C_13_7,13,7,2
Company_C_13_7,13,14,0
Company_C_13_7,14,2,0
Company_C_13_7,14,3,0
Company_C_13_7,14,5,0
Company_C_13_7,14,13,0
Company_C_13_7,14,15,0
Company_C_13_7,15,6,0
Company_C_13_7,15,12,0
Company_C_13_7,15,14,0
Company_D_5_6,1,3,0
Company_D_5_6,1,4,0
Company_D_5_6,2,14,0
Company_D_5_6,3,1,0
Company_D_5_6,3,5,0
Company_D_5_6,3,7,0
Company_D_5_6,3,14,0
Company_D_5_6,4,1,0
Company_D_5_6,4,6,0
Company_D_5_6,4,8,0
Company_D_5_6,4,12,0
Company_D_5_6,5,3,0
Company_D_5_6,5,7,3
Company_D_5_6,5,14,3
Company_D_5_6,6,4,0
Company_D_5_6,6,7,0
Company_D_5_6,6,9,0
Company_D_5_6,6,15,0
Company_D_5_6,7,3,0
Company_D_5_6,7,5,0
Company_D_5_6,7,6,3
Company_D_5_6,7,13,0
Company_D_5_6,8,4,0
Company_D_5_6,8,9,0
Company_D_5_6,9,6,0
Company_D_5_6,9,8,0
Company_D_5_6,9,10,0
Company_D_5_6,10,9,0
Company_D_5_6,10,11,0
Company_D_5_6,11,10,0
Company_D_5_6,12,4,0
